dsmsgkey,dsenus,dsptbr,dseses
err.Invalid username,"Sorry, invalid username.","Desculpe, usuário inválido.","Lo siento, nombre de usuario inválido."
err.Invalid UUID,"Sorry, invalid UUID.","Desculpe, UUID inválido.","Lo siento, UUID inválido."
err.Invalid vault,"Sorry, invalid vault.","Desculpe, meio de pagamento inválido.","Lo siento, bóveda inválida."
err.Invoice already belong to another statement,This invoice already belong to another Statement of Accounting.,Essa invoice já está em outro Statement of Accounting.,Esta factura ya pertenece a otro Estado de Contabilidad.
err.Invoice in Statement. You need to remove it from Statement.,This invoice is part of Statement of Accounting. To perform this operation you need to remove it from Statement of Agreement.,Essa invoice pertence a um Statement of Accounting. Para realizar essa operação você precisa remover do Statement of Accounting.,"Esta factura forma parte del Estado de Cuenta de Contabilidad. Para realizar esta operación, debe eliminarla del Estado de Cuenta de Acuerdo."
PhoneInput.placeholder.extension,Extension,Ramal,Extensión
err.Invoice is not a Tax type to delete the process charges.,"Sorry, can't delete an invoice with type ""Tax"". For further assistance contact our support team.","Desculpe, não foi possivel deletar uma invoice com o tipo ""Taxa"". Se precisar de mais ajuda contate nossa equipe de suporte.","Lo siento, no se puede eliminar una factura con el tipo ""Impuesto"". Para obtener más ayuda, póngase en contacto con nuestro equipo de soporte."
err.Invoice parcel status is Payed. Reopen it before delete,"This invoice has parcels with ""Paid"" status. To perform this operation you need to reopen this parcels.","Essa invoice tem parcelas com status ""pago"". Para realizar essa operação você precisa reabrir essa parcela.","Esta factura tiene paquetes con estado ""Pagado"". Para realizar esta operación, debe reabrir estos paquetes."
err.Invoice status is Cancelled. You need to create another one.,"Sorry, this invoice was Cancelled. Please create a new one.","Desculpe, essa invoice está cancelada. Por favor crie uma nova.","Lo siento, esta factura ha sido cancelada. Por favor, cree una nueva."
err.Invoice status is Payed. Delete parcels to reopen it.,"Sorry, this invoice was Paid. Please, delete parcels to reopen it.","Desculpe essa invoice está paga. Por favor, delete as parcelas e reabra-as.","Lo siento, esta factura ha sido pagada. Por favor, elimine los paquetes para reabrirla."
err.Invoice type is not allowed for an statement,"Sorry, invoice type is not allowed for an Statement of Agreement.","Desculpe, tipo de invoice não permitida para um Statement of Agreement.","Lo siento, el tipo de factura no está permitido para un Estado de Acuerdo."
err.Late fee volumes has invoice,"Sorry, Demurrage/Detention volumes has invoice. Reversal this invoice before perform this operation.","Desculpe, Demurrage/Detention estão em invoice. Extorne essa invoice antes de realizar essa operação.","Lo siento, los volúmenes de Demurrage/Detention tienen una factura. Revierta esta factura antes de realizar esta operación."
err.Main vault cannot be changed,"Sorry, your main vault cannot be changed.","Desculpe, seu meio de pagamento principal não pode ser alterado.","Lo siento, no se puede cambiar su bóveda principal."
err.Main vault cannot be deleted,"Sorry, your main vault cannot be deleted.",Desculpe seu meio de pagamento principal não pode ser deletado.,"Lo siento, no se puede eliminar su bóveda principal."
err.Member not defined,Member not defined.,Membro não definido.,Membro no definido.
err.NO_OBROLES,"Please, select at least one job function to this member in in one or more offices.","Por favor, selecione ao menos uma função para esse membro em um ou mais escritórios.","Por favor, seleccione al menos una función de trabajo para este miembro en uno o más oficinas."
err.obAgentPayEmpty,"Please, select Remittance Agent before continue.",Por favor selecione o Agente de Remessa antes de prosseguir.,"Por favor, seleccione el Agente de Remesa antes de continuar."
err.Office has already been linked to NFE,This office has already been linked to NFe,Este escritório já está vinculado à uma Nota Fiscal Eletrônica.,Este despacho ya ha sido vinculado a una NFE.
err.One of the selected commissions already is in a invoice,"Sorry, One of the selected commissions is already in a invoice.","Desculpe, uma das comissões selecionadas já encontra-se em uma invoice. ","Lo siento, una de las comisiones seleccionadas ya está en una factura."
err.One or more volumes doesn't belongs to this parent,"Sorry, one or more volumes doesn't belongs to this parent process. Please, try again later or contact our support team.","Desculpe, um ou mais volumes não pertencem a esse processo. Por favor, tente novamente mais tarde ou contate nossa equipe de suporte.","Lo siento, uno o más volúmenes no pertenecen a este proceso padre. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nuestro equipo de soporte."
err.Only a payer is allowed for organization,"Sorry, only one payer is allowed for each organization.","Desculpe, somente um pagador é permitido por organização.","Lo siento, solo se permite un pagador por organización."
err.Organization already has a plan,This organization already has a plan.,Essa organização já tem um plano.,Esta organización ya tiene un plan.
err.Organization not found,Organization not found.,Organização não encontrada.,Organización no encontrada.
err.Origin and Destination can not be null,"Sorry, Port/Airport of Origin and Destination are required.","Desculpe, porto/aeroporto de origem e destino são necessários.","Lo siento, el puerto/aeropuerto de origen y destino son obligatorios."
err.Parameters for Recalculation was not provided.,"Sorry, missing required parameters for Recalculation.","Desculpe, faltando paramentros obrigatórios para recalcular.","Lo siento, faltan los parámetros requeridos para el recalculo."
err.Password mismatch,"Sorry, password mismatch.","Desculpe, senha não compatível.","Lo siento, contraseña no coincide."
Label.viewNfe,View NFe,Visualizar Nota Fiscal Eletrônica,Ver NFe
err.Password too weak,"Sorry, Your password is too weak. It must have: 7 chars, 1 uppercase letter and 1 number.","Desculpe, sua senha é muito fraca. Necessário ter: 7 caracteres, 1 maiúsuclo e 1 numero.","Lo siento, su contraseña es demasiado débil. Debe tener: 7 caracteres, 1 letra mayúscula y 1 número."
err.Payer is not defined,"Sorry, payer is not defined.","Desculpe, pagador não definido.","Lo siento, el pagador no está definido."
err.Payment is not currently available,"Sorry, payment system is unavailable at this moment. Please, try again later or contact our support team.","Desculpe, sistema de pagamento indisponível no momento. Por favor tente novamente mais tarde ou contate nossa equipe de suporte.","Lo siento, el sistema de pago no está disponible en este momento. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nuestro equipo de soporte."
err.Permission denied,Permission denied.,Permissão negada.,Permiso denegado.
err.PERMISSION_DENIED,"Sorry, you don't have permission to perform this operation.","Desculpe, você não tem permissão para executar essa operação.","Lo siento, no tienes permiso para realizar esta operación."
err.Process cannot be deleted,"Sorry, this process cannot be deleted. If you need further assistance contact our support team.","Desculpe, esse processo não pode ser deletado. Se precisar de mais ajuda, contate nossa equipe de suporte.","Lo siento, este proceso no puede ser eliminado. Si necesita más ayuda, póngase en contacto con nuestro equipo de soporte."
err.Process can't be finished manually. Go to Actions -> Finish Process,Process can't be finished manually. <b>Go to Actions -> Finish Process.</b>,"Um processo não pode ser encerrado manualmente, <b>clique em Ações -> Encerramento do Processo.</b>",El proceso no puede ser finalizado manualmente. <b>Ir a Acciones -> Finalizar Proceso.</b>
err.Process can't be finished manually. Go to Houses -> Actions -> Finish Process,"This process contains houses, to finish a process with Houses go to one of the Houses and in the ""Actions"" button click on ""Closing of the Process"".","Este processo contém houses, para finalizar um processo com Houses vá até um dos Houses e no botão ""Ações"" clique em  ""Encerramento do Processo"".","Este proceso contiene casas, para finalizar un proceso con casas vaya a una de las casas y en el botón ""Acciones"" haga clic en ""Cierre del proceso""."
err.Process cant be refund,"Sorry, this process cant be refund anymore.","Desculpe, esse processo não pode ser reembolsado.","Lo siento, este proceso ya no puede ser reembolsado."
Label.cancelingNfeInvoice,Starting cancel process ...,Iniciando cancelamento da NF ...,Iniciando proceso de cancelación...
err.Process created more than one week can't be refunded.,"Sorry, process created more than one week can't be refunded.","Desculpe, processo criado a mais de uma semana não podem ser reembolsados.","Lo siento, los procesos creados hace más de una semana no pueden ser reembolsados."
err.Process has Houses. You need to delete it before delete the master.,"Sorry, this process has House(s). To perform this operation delete all houses first.","Desculpe, esse processo tem house(s). Para realizar essa operação delete todos houses primeiro.","Lo siento, este proceso tiene casa(s). Para realizar esta operación, elimine todas las casas primero."
err.Process has invoice. Unable to delete,"Sorry, this action is not allowed. The process has invoice. ","Desculpe, esta ação não é permitida. Esse processo contém invoice.","Lo siento, esta acción no está permitida. El proceso tiene una factura."
DraftManager.header.draftManager,Draft Manager,Gerenciador de Draft,Gerente de borradores
EditProcessOrigin.label.alias,POL to Print,POL para Impressão,POL a Impresión
err.Process has invoice. Unable to edit the quotation.,"Sorry, process bounded to this quotation has one or more invoices. Unable to edit.","Desculpe, o processo vinculado a essa cotação tem uma ou mais invoices. Não é possível editar.","Lo siento, el proceso vinculado a esta cotización tiene una o más facturas. No se puede editar."
err.Process has quotation.,"Sorry, this process has quotation.","Desculpe, esse processo contém cotação.","Lo siento, este proceso tiene una cotización."
err.Process must be Master,Process must be Master.,Processo precisa ser Master.,El proceso debe ser Master.
err.Quotation can't be set to Operation manually. Use the correct screen,"Sorry, quotation status can't be set to ""Operation"" manually. To perform this operation import quotation to a process. ","Desculpe, status da cotação não pode ser alterado para ""operação"" manualmente. Para realizar essa operação importe a cotação para o processo.","Lo siento, no se puede establecer manualmente el estado de la cotización como ""Operación"". Para realizar esta operación, importe la cotización a un proceso."
err.Record not found,"Sorry, record not found.","Desculpe, registro não encontrado.","Lo siento, registro no encontrado."
err.Required field,Required field,Campo obrigatório.,Campo obligatorio.
err.Reset code has already been used,Link already used,Link já utilizado,Enlace ya utilizado
err.Reset code has expired,"Sorry, reset link has expired.","Desculpe, link de alteração de senha expirado.","Lo siento, el enlace de restablecimiento ha expirado."
err.Reset code was denied,"Sorry, reset password link is invalid.","Desculpe, link de alteração de senha inválido.","Lo siento, el enlace de restablecimiento de contraseña no es válido."
err.Role not found,"Sorry, role not found.","Desculpe, regra de acesso não encontrada.","Lo siento, no se encontró el rol."
err.Salesman 1 and 2 are the same user,"Sorry, salesperson one and two can not be same user","Desculpe, vendedor um e vendedor dois não podem ser o mesmo.","Lo siento, el vendedor uno y dos no pueden ser el mismo usuario."
err.Salesman not has access to the this data,"Sorry, Salesperson doesn't have access to this data.","Desculpe, um vendedor não tem acesso a esse dado.","Lo siento, el vendedor no tiene acceso a estos datos."
err.selectOneOrganization,"Please, select one organization","Por favor, selecione uma organização","Por favor, seleccione una organización."
Label.duplicateInProgress,Duplicating...,Duplicando...,Duplicando...
err.setUserBeAwareNonConformityRequiredFields,"To carry out this operation, fill in all the ""Corrective Action"", ""Action Plan"" and ""Risk Analysis"" fields.","Para realizar esta operação, preencha todos os campos de ""Ação Corretiva"", ""Plano de Ação"" e ""Análise de Risco"".","Para llevar a cabo esta operación, complete todos los campos de ""Acción Correctiva"", ""Plan de Acción"" y ""Análisis de Riesgos""."
"err.Sorry, unable to add this charge to a Commission Invoice type","Sorry, unable to add this charge to a Commission Invoice Type.","Desculpe, impossível adicionar essa taxa a uma Invoice do tipo Comissão.","Lo siento, no se puede agregar este cargo a un tipo de factura de comisión."
"err.Sorry, unable to change Payer in Statement with Invoices","Sorry, unable to change Payer in Statement with Invoices.","Desculpe, impossível alterar o pagador em um Statement com Invoices.","Lo siento, no es posible cambiar el pagador en un Estado de cuenta con facturas."
"err.Sorry, unable to change Salesman in Commission with Charges","Sorry, unable to change Salesperson in Commission with Charges.","Desculpe, impossível alterar o vendedor em uma comissão com Taxas.","Lo siento, no es posible cambiar el vendedor en una comisión con cargos."
"err.Sorry, unable to invite this company. It is already a Partner.","Sorry, unable to invite this company. It has already accepted a prior invite.","Desculpe, impossível convidar esta Empresa. Ele já aceitou um convite anterior.","Lo siento, no se puede invitar a esta empresa. Ya ha aceptado una invitación previa."
err.This action is not allowed. Organization has order's pending.,"Sorry, action not allowed. Organization has order's pending. Please, try again later or contact our support team.","Desculpe, ação não permitida. Organização tem pedido pendente. Por favor, tente novamente mais tarde ou contate com nossa equipe de suporte.","Lo siento, acción no permitida. La organización tiene pedidos pendientes. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nuestro equipo de soporte."
err.This configuration cannot be modified,"Sorry, this configuration cannot be modified.","Desculpe, essa configuração não pode ser modificada.","Lo siento, esta configuración no puede ser modificada."
err.This coupon has already been redeemed,"Sorry, this coupon has already been redeemed.","Desculpe, esse cupom ja foi utilizado.","Lo siento, este cupón ya ha sido canjeado."
err.This coupon has expired,"Sorry, this coupon has expired.","Desculpe, esse cupom já expirou.","Lo siento, este cupón ha expirado."
err.This coupon is inactive,"Sorry, you can't use an inactive coupon.","Desculpe, não é possível utilizar um cupom vencido.","Lo siento, no puedes usar un cupón inactivo."
err.This data already exists,"Sorry, this data already exists.","Desculpe, esse dado já existe","Lo siento, estos datos ya existen."
err.This email already exists,Email already in use,Email já registrado,Correo electrónico ya registrado
err.This Invoice has no tax to calc,This Invoice has no tax. Impossible to calculate.,Essa invoice não tem taxas. Não foi possível de calcular.,Esta factura no tiene impuestos para calcular. Imposible de calcular.
err.This invoice must be a Commission type,"Sorry, this invoice must be ""Commission"" type!","Desculpe, essa invoice deve ser do tipo ""Comissão""!","¡Lo siento, esta factura debe ser del tipo ""Comisión""!"
EditProcessRouting.placeholder.routing,Type the routing instructions,Digite as intruções de routing,Escriba las instrucciones de enrutamiento.
EditProcessShipper.label.updateShipper,Update Shipper,Atualizar Shipper,Actualizar Shipper
err.This Master Volume is linked with another volume,"Sorry, this master volume is linked with another volume. For further assistance contact our support team.","Desculpe, esse volume master está linkado a outro volume, se precisar de mais ajuda, por favor contate nossa equipe de suporte.","Lo siento, este volumen maestro está vinculado a otro volumen. Para obtener más ayuda, contacte a nuestro equipo de soporte."
err.This operation doesn't consume credit but your company needs some balance to execute it.,This operation doesn't consume credit but your company needs some balance to execute it.,"Esta operação não consome crédito, mas sua empresa precisa de algum saldo para executá-la.","Esta operación no consume crédito, pero su empresa necesita tener saldo para ejecutarla."
err.This quotation is associated to a process. It can be reopened by the process.,"Sorry, this quotation is associated to a process. To perform this operation please go to the process.","Desculpe, essa cotação já está associadao a um processo. Para realizar essa operação por favor vá ao processo.","Lo siento, esta cotización está asociada a un proceso. Para realizar esta operación, por favor vaya al proceso."
err.This user already exists,User already in use,Usuário já registrado,Usuario ya en uso
err.Unable do Inactive a System Office,"Sorry, you can't inactivate a System Office.","Desculpe, Escritório do sistema não pode ser inativado.","Lo siento, no puedes desactivar una Oficina del Sistema."
err.Unable to edit. The process was finished.,"Sorry, you can't edit a process flagged as ""Finished"".","Desculpe, voce não pode editar um processo marcado como ""encerrado"".","Lo siento, no puedes editar un proceso marcado como ""Finalizado""."
err.Unable to inactive old plans.,"Sorry, unable to inactive old plans.","Desculpe, incapaz de inativar planos antigos. ","Lo siento, no se pueden desactivar los planes antiguos."
err.Unable to refund Process. One or more important documents was generated.,"Sorry, unable to refund this process. One or more important documents was generated.","Desculpe, não foi possível reembolsar esse processo. Um ou mais documentos importantes foi gerado.","Lo siento, no se puede reembolsar este proceso. Se generó uno o más documentos importantes."
err.Unable to reimport quotation. Process has late fee!,"Sorry, you can't reimport this quotation. Process has Demurrage/Detention!","Desculpe, você não pode reimportar essa cotação. Processo contém Demurrage/Detention!","Lo siento, no puedes volver a importar esta cotización. El proceso tiene Demurrage/Detention."
err.Unable to reimport quotation! The new process doesn't belongs to the same old Master process,"Sorry, unable to reimport quotation! If you need assistance, please contact support team.","Desculpe, impossível reimportar quotação! Se precisar de assitência, por favor contate nossa equipe de suporte","Lo siento, no es posible volver a importar la cotización. Si necesita ayuda, por favor contacte al equipo de soporte."
err.Unknown language,Unknown language.,Linguagem desconhecida.,Lenguaje desconocido.
err.Unsupported entity,Unsupported entity.,Entidade não suportada.,Entidad no soportada.
err.User Log not set,User Log not set.,Usuário logado não está setado no contexto.,Usuario no ha iniciado sesión.
err.Username is taken by another user,"Sorry, this username is already in use.","Desculpe, esse usuario já está em uso.","Lo siento, este nombre de usuario ya está en uso."
err.User not authenticated,"Sorry, User not authenticated!","Desculpe, usuario não autenticado!","¡Lo siento, usuario no autenticado!"
err.User not defined,User not defined.,Usuário não definido.,Usuario no definido.
err.User not found,"Sorry, you don't have access to this organization.","Desculpe, você não tem acesso a esta organização.","Lo siento, no tienes acceso a esta organización."
err.User not is a Salesman,"Sorry, you must be a Salesperson to perform this operation.","Desculpe, você precisa ser um Vendedor para realizar essa operação.","Lo siento, debes ser un vendedor para realizar esta operación."
err.Vault not found,"Sorry, vault not found. Please, try again later or contact our support team.","Desculpe, meio de pagamento não encontrado. Por favor, tente novamente mais tarde ou contate nossa equipe de suporte.","Lo siento, bóveda no encontrada. Por favor, inténtelo de nuevo más tarde o póngase en contacto con nuestro equipo de soporte."
err.Volume quantity cant be zero.,"Sorry, volume amount can't be zero.","Desculpe, quantidade de volume não pode ser zero.","Lo siento, la cantidad de volumen no puede ser cero."
err.You should not be here,You should not be here ^^,You should not be here ^^,No deberías estar aquí ^^
FileType.AWB,AWB,AWB,AWB
FileType.BOOKING,Booking,Reserva de Praça,Reserva de plaza
FileType.CANCELTC4,Cancel TC4,Cancelamento TC4,Cancelar TC4
FileType.CARGOMANIFEST,Cargo Manifest,Manifesto de Carga,Manifiesto de Carga
FileType.CN23,Brazilian Post Office - CN23,Correios - CN23,Correos de Brasil - CN23
FileType.CN35,Brazilian Post Office - CN35,Correios - CN35,Correos de Brasil - CN35
FileType.CN38,Brazilian Post Office - CN38,Correios - CN38,Correos de Brasil - CN38
FileType.CNTRLIABILITYTERM,CNTR Liability Term,Termo de Devolução de CNTR,Término de responsabilidad del contenedor
FileType.COLLECTORDER,Collection Order,Ordem de Coleta,Orden de Recogida
FileType.COMMISSION,Commission,Comissão,Comisión
FileType.COVER,Process Cover,Capa do Processo,Cubierta del Proceso
FileType.CUSTOMSFILE,Customs Files,Arquivos Aduaneiros,Archivos de Aduanas
Label.obColoader,Co-Loader,Co-Loader,Co-Loader
DraftForm.volumeHeader.vlWeight,Net Weight,Net Weight,Peso neto
FileType.DIGITALHOUSEBL_COPY,Digital H/BL Copy,Digital H/BL Copy,Copia digital de H/BL
FileType.DIGITALHOUSEBL_ORIGINAL,Digital H/BL Original,Digital H/BL Original,Original de H/BL Digital
FileType.FOLLOWUP,Follow-up,Follow-up,Seguimiento
FileType.HANDOVER,Handover,Handover,Entrega
FileType.HOUSEBL_COPY,H/BL Copy,H/BL Copy,Copia de H/BL
FileType.INVOICE,Invoice,Fatura,Factura
ReportConfig.shippingConfirm.title,SHIPPING CONFIRM,CONFIRMAÇÃO DE EMBARQUE,CONFIRMACIÓN DE ENVÍO
DraftForm.notDefined,Not Defined,Not Defined,No definido
EditProcessNotify.label.obNotify,Notify in the Process,Notify no Processo,Notificar en el proceso
FileType.ISF,ISF,ISF,ISF
FileType.MOOCONFIRM,Mooring Confirmation,Confirmação de Atracação,Confirmación de Amarre
FileType.MOONOTIFY,Mooring Notification,Notificação de Atracação,Notificación de Atraque
FileType.NFSE,NFS-e,NFS-e,NFS-e
FileType.PACKING_LIST,Packing List,Packing List,Lista de embalaje
FileType.PEB,Refrigeration PEB,Refrigeração PEB,Refrigeración PEB
FileType.PREALERT,Pre Alert,Pré Alerta,Pre Alerta
FileType.PROFORMA_INVOICE,Proforma Invoice,Proforma Invoice,Factura proforma
FileType.RECEIPT,Receipt,Recibo,Recibo
FileType.SHIPPINGCONFIRM,Shipping Confirmation,Confirmação de Embarque,Confirmación de Envío
FileType.SHIPPINGINSTRUCTION,Shipping Instruction,Instrução de Embarque,Instrucción de Embarque
FileType.SHIPPINGPROGRAM,Shipping Schedule,Programação de Embarque,Programa de Envío
FileType.STATEMENT,Statement,Statement,Declaración
FileType.TC4 ,Letter TC4,Carta TC4,Carta TC4
FileType.TC7,Letter TC7,Carta TC7,Carta TC7
FileType.VOLUMELABEL,Volumes Label,Etiqueta de Volumes,Etiqueta de Volumen
FirstCompanyComponent.header1.description,The company is the second level of grouping your business.,A empresa é o segundo nível do agrupamento do seu negócio.,La empresa es el segundo nivel de agrupación de su negocio.
FirstCompanyComponent.header2.description,It's okay if your business does not yet have this level of complexity.,Tudo bem se seu negócio ainda não tem esse nível de complexidade.,Está bien si tu negocio aún no tiene este nivel de complejidad.
Invoices.header.addInvoice,Invoice Adding,Adicionando Invoice,Añadiendo factura
PdfViewer.warning.noData,No document found,Nenhum documento encontrado,No se encontró ningún documento.
FirstCompanyComponent.header3.description,If this is the case you can simply repeat the data for your organization.,Se for esse o caso você pode simplesmente repetir os dados da sua organização.,"Si este es el caso, simplemente puede repetir los datos de su organización."
FirstCompanyComponent.header.companyRegister,Company Registration,Cadastro da Empresa,Registro de la empresa
FirstCompanyComponent.header.myCompany,My Company,Minha Empresa,Mi Empresa
FirstOfficeComponent.button.viewPlans,View Plans,Ver Planos,Ver Planes
FirstOfficeComponent.header2.readyToStart,You are now ready to use the system!,Você já está pronto para utilizar o sistema!,¡Ahora estás listo para usar el sistema!
FirstOfficeComponent.header.myOffice,My Office,Meu Escritório,Mi Oficina
FirstOfficeComponent.header.officeRegister,Office Registration,Cadastro do Escritório,Registro de Oficina
FirstOfficeComponent.header.officeRegisterDescription,The office is the last level of your business. In it the processes will actually be launched.,O escritório é o último nível do seu negócio. Nele que realmente os processos serão lançados.,La oficina es el último nivel de su negocio. Aquí es donde realmente se lanzarán los procesos.
FirstOfficeComponent.header.readyToStart,Ready to start,Pronto para começar,Listo para empezar
FirstOfficeComponent.header.whatYouWish,What do you want?,O que você deseja?,¿Qué deseas?
FirstOfficeComponent.p.1,"You can already use all system functionality, less launch processes (BL / AWB).","Você já pode utilizar todas as funcionalidades do sistema, menos lançar processos (BL/AWB).","Ya puede utilizar todas las funcionalidades del sistema, excepto lanzar procesos (BL / AWB)."
FirstOfficeComponent.p.2,To launch processes it is necessary to acquire credits and for sure we have the ideal plan for your pocket.,Para lançar processos é necessário adiquirir créditos e com certeza nós temos o plano ideal para o seu bolso.,Para lanzar procesos es necesario adquirir créditos y seguramente tenemos el plan ideal para tu bolsillo.
Label.addItem,Add item,Adicionar item,Agregar artículo
FirstOrganizationComponent.header2.organizationRegister,The organization is the group to which your company belongs.,A organização é o grupo ao qual a sua empresa pertence.,La organización es el grupo al que pertenece su empresa.
FirstOrganizationComponent.header3.organizationRegister,It's okay if it's not in a group right now.,Está tudo bem se não estiver num grupo agora.,Está bien si no está en un grupo en este momento.
FirstOrganizationComponent.header4.organizationRegister,"After all, it can grow, can not it?","Afinal de contas ela pode crescer, não é mesmo?","Después de todo, ¿puede crecer, verdad?"
Label.height,Height,Altura,Altura
FirstOrganizationComponent.header.myOrganization,My Organization,Minha Organização,Mi Organización
FirstOrganizationComponent.header.organizationRegister,Organization Registration,Cadastro da Organização,Registro de la Organización
FirstRegister.button.goToPlans,View plans,Ver planos,Ver planes
FirstRegister.button.start,Start now,Começar agora,Comenzar ahora
FirstRegisterForm.button.remove,Cancel / Remove,Cancelar / Remover,Cancelar / Eliminar
FirstRegisterForm.header.obImage,Organization Image or Logo,Imagem ou Logo da Organização,Imagen o logotipo de la organización
FirstRegisterForm.placeholder.code,eg. ORG,ex. ORG,"por ejemplo, ORG"
FirstRegisterForm.placeholder.obImage,Drag your organization image or click here.,Arraste a imagem da sua organização ou clique aqui.,Arrastre la imagen de su organización o haga clic aquí.
FirstRegister.headerLabel.yourOrganization,We would like to know your company.,Gostaríamos de conhecer a sua empresa.,Nos gustaría conocer su empresa.
FirstRegister.header.success,Company successfully registered!,Empresa cadastrada com sucesso!,¡Empresa registrada exitosamente!
FirstRegister.header.yourOrganization,Your Organization,Sua Organização,Su Organización
frequencyTypes.10DAYS,Every 10 days,A cada 10 dias,Cada 10 días
frequencyTypes.15DAYS,Every 15 days,A cada 15 dias,Cada 15 días
frequencyTypes.DAYS15,Every 15 days,A cada 15 dias,Cada 15 días
frequencyTypes.WEEKLY,Weekly,Semanal,Semanal
GenderTypes.FEMALE,Female,Feminino,Femenino
GenderTypes.MALE,Male,Masculino,Masculino
GoodsCompanyTypes.BUYER,Buyer,Comprador,Comprador
GoodsCompanyTypes.SELLER,Seller,Vendedor,Vendedor
GoodsUseTypes.COMMERCIALIZATION,Commercialization,Comercialização,Comercialización
GoodsUseTypes.INDUSTRIALIZATION,Industrialization,Industrialização,Industrialización
GoodsUseTypes.PERMANENT_ASSETS,Permanent assets,Ativo Fixo,Activo fijo
FileManagerComponent.button.addFile,Add File,Adicionar Arquivo,Agregar archivo
GoodsUseTypes.USE_AND_CONSUMPTION,Use and consumption,Uso e consumo,Uso y consumo
GridPaginato.label.next,Next,Próxima,Siguiente
Header.printSettings,Print Settings - Templates,Configuração de Impressão - Templates,Configuración de impresión - Plantillas
Help.cdTracking,Press <kbd>Enter</kbd> to search.,Pressione <kbd>Enter</kbd> para pesquisar.,Presione <kbd>Enter</kbd> para buscar.
HouseForm.label.obCnee,Importer,Importador,Importador
HouseForm.label.obShipper,Exporter,Exportador,Exportador
HouseForm.subHeader.houseRelatedParts,Related Parts - House,Partes Envolvidas - House,Partes relacionadas - Casa
IataTypes.FIVEPERCENTFORBUYNOOVER,5% buy discounting over,5% compra descontando over,Descuento del 5% en compras over.
IataTypes.FIVEPERCENTFORSALE,5% for sale,5% venda,5% en venta
IataTypes.FIVEPERCENTFORSALENOOVER,5% sale discounting over,5% venda descontando over,Descuento de venta del 5% sobre el precio total
IataTypes.NONE,No One,Nenhum,Ninguno
IboxHeader.commissionInfo,Commission Info,Informações da Comissão,Información de Comisión
ImportAwbSequenceManager.modal.header,Import AWB number,Importar numeração AWB,Importar número AWB
importLicenseTypes.NOTREQUIRED,Not Required,Dispensada,No requerido
importLicenseTypes.REFUSED,Refused,Recusada,Rechazada
ImportProcessChargeForm.warning.noCharges,No charges available,Nenhuma taxa disponível,No hay cargos disponibles
ImportProcessChargeForm.warning.noCreditorDebitor,"Please, first select the Debtor or Creditor","Por favor, primeiro selecione o devedor ou credor","Por favor, primero seleccione el deudor o acreedor."
IncotermRuleForm.noData.tpOperation,No Operations,Sem Operações,Sin operaciones
IncotermRuleForm.placeholder.tpOperation,Select Operations,Selecione as Operações,Seleccione las Operaciones
Incoterms.headerLabel.incotermsList,Incoterms List,Lista de Incoterms,Lista de Incoterms
InstructionForm.noData.tpInstruction,No type found,Nenhum tipo encontrado,Ningún tipo encontrado
InstructionForm.placeholder.dsInstruction,Type the instruction,Digite a instrução,Escriba la instrucción
InstructionList.header.editInstruction,Editing Instruction,Editando Instrução,Edición de instrucción
Instructions.button.addInstruction,Add Instruction,Adicionar Instrução,Agregar Instrucción
Instructions.header.addInstruction,Adding Instruction,Adicionando Instrução,Añadiendo instrucción
InstructionTypes.BILLING,Billing Notes,Obs Financeiro,Notas de facturación
InstructionTypes.CNTRDELIVERY,Container Delivery,Entrega do Container,Entrega del contenedor
FormatSettings.ThousandSeparator,",",.,.
InstructionTypes.COLLECTINGPLACE,Collecting Place,Local de Coleta,Lugar de Recogida
InstructionTypes.DELIVERYPLACE,Delivery Place,Local de Entrega,Lugar de entrega
Label.OfficeFax,Fax,Fax,Fax
InstructionTypes.DETENTIONTAX,Orig / Detention,Orig / Detention,Orig / Detención
InstructionTypes.DOCDELIVERYPLACE,Documentation Delivery Place,Local de Entrega da Documentação,Lugar de entrega de documentación.
InstructionTypes.INTERNAL,Internal Notes,Obs Interna,Notas internas
InsuranceType.ACCEPTED,Accepted,Aceito,Aceptado
InsuranceType.ENDORSED,Endorsed,Averbado,Asegurado
InsuranceType.NOT_OFFERED,Not Offered,Não Ofertado,No ofrecido
InsuranceType.REJECTED,Rejected,Rejeitado,Rechazado
introJS.nextLabel,Next,Próximo,Siguiente
InviteForm.placeholder.dsEmail,Type the email,Digite o e-mail,Escriba el correo electrónico
InviteTree.tooltip.replicate,Replicate,Replicar,Replicar
InviteTypes.ACCEPTED,Accepted,Aceito,Aceptado
InviteTypes.CANCELLED,Canceled,Cancelado,Cancelado
InviteTypes.EXPIRED,Expired,Expirado,Expirado
InviteTypes.NOTSENT,Not Sent,Não Enviado,No enviado
InviteTypes.RECEIVED,Received,Recebido,Recibido
InviteTypes.SENT,Sent,Enviado,Enviado
InvoiceChargeGridForm.label.cdCreditDebit,Credit or Debit,Crédito ou Débito,Crédito o Débito
InvoiceChargeGridForm.label.vlTotalExchange,Total Exchange,Total no Câmbio,Total de cambio
InvoiceChargeGridForm.label.vlTotalExchangeAdjust,Exchange rounding,Arredondamento de câmbio,Redondeo de cambio
