dsmsgkey,dsenus,dsptbr,dseses
DemurrageForm.label.nbFreeTime,Free time,Free time,Tiempo libre
DemurrageForm.placeholder.nbFreeTime,Free time,Free time,Tiempo libre
Caption.nbFreeTime,Free time,Free time,Tiempo libre
DemurrageForm.placeholder.nbDaysFrom,Days,Dias,Días
DemurrageForm.placeholder.nbDaysTo,Days,Dias,Días
Caption.dtUpdated,Updated at,Atualizado em,Actualizado a
ProfitShareForm.noData.tpModality,No modality,Sem modalidade,Sin modalidad
ProfitShareForm.placeholder.tpOperation,Select operations,Selecionar operações,Seleccionar operaciones
ProfitShareForm.placeholder.tpModality,Select modalities,Selecionar modalidades,Seleccionar modalidades
Caption.range,Range,Faixa,Rango
DemurrageForm.header.range,Range,Faixa,Rango
ProfitShareForm.noData.tpOperation,No operations,Sem operações,Sin operaciones
ProfitShareForm.type.cdFreightType,Freights,Fretes,Fletes
Label.cdCountry,Country,País,País
Label.cdCountries,Countries,Países,Países
ProfitShareForm.placeholder.tpProfitShare,Select type,Selecionar tipo,Seleccionar tipo
SideMenuComponent.label.airports,Airports,Aeroportos,Aeropuertos
Type.cdCountry,Countries,Países,Países
ProfitShareForm.type.idPort,Ports,Portos,Puertos
ProfitShareForm.placeholder.vlProfitShareAgent,Value,Valor,Valor
ProfitShareForm.label.tpModality,Modalities,Modalidades,Modalidades
ProfitShareForm.placeholder.vlProfitShare,Value,Valor,Valor
AirportForm.label.cdAirport,Code,Código,Código
Label.idPort,Ports,Portos,Puertos
ProfitShareForm.label.tpOperation,Operations,Operações,Operaciones
Caption.tpOperation,Operation,Operação,Operación
NavRoute.title.airports,Airports,Aeroportos,Aeropuertos
Airports.header.airports,Airports,Aeroportos,Aeropuertos
Breadcrumb.airports,Airports,Aeroportos,Aeropuertos
AirportList.paginator.airports,Airports,Aeroportos,Aeropuertos
Caption.obAgentPay,Remittance Agent,Agente Remessa,Agente de Remesas
Button.attachments,Attachments,Anexos,Adjuntos
ProfitShareForm.label.dsObservation,Note,Observação,Nota
Caption.cdCarrierDocument,Master,Master,Maestro
ProfitShareForm.label.agentContract,Agent Contract,Contrato Agente,Contrato de Agente
Caption.agentContract,Agent Contract,Contrato Agente,Contrato de Agente
ProfitShareList.label.all,All,Todos,Todo
ProfitShareForm.placeholder.tpProfitShareAgent,Select type,Selecionar tipo,Seleccionar tipo
ProfitShareForm.label.ownContract,Own Contract,Contrato Próprio,Contrato propio
Caption.ownContract,Own Contract,Contrato Próprio,Contrato propio
Departments.header.departments,Departments,Departamentos,Departamentos
AddCharge.alert.success,Charge successfully added,Taxa adicionada com sucesso,Carga añadida exitosamente
Breadcrumb.depataments,Departaments,Departamentos,Departamentos
SideMenuComponent.label.departments,Departments,Departamentos,Departamentos
NavRoute.title.departments,Departaments,Departamentos,Departamentos
ChargeForm.label.nmCharge,Name,Nome,Nombre
Charges.button.addCharge,Add Charge,Adicionar Taxa,Agregar cargo
Charges.header.addCharge,Add Charge,Adicionar Taxa,Agregar cargo
ChargeForm.label.tpModality,Modalities,Modalidades,Modalidades
ChargeForm.type.tpModality,Modalities,Modalidades,Modalidades
DepartmentList.paginator.departments,Departments,Departamentos,Departamentos
Departments.header.addDepartment,Add Department,Adicionar Departamento,Agregar departamento
Departments.button.addDepartment,Add Department,Adicionar Departamento,Agregar departamento
ChargeList.header.editCharge,Charge Editing,Editar Taxa,Editar cargo
NavRoute.subtitle.officeEditing,Office Editing,Edição de Escritório,Edición de oficina
ChargeForm.noData.tpModality,No Modalities,Sem Modalidades,Sin Modalidades
DepartmentForm.label.nmDepartment,Department Name,Nome do Departamento,Nombre del departamento
OfficeContacts.button.addContact,Add Contact,Adicionar Contato,Agregar contacto
OfficeContacts.header.addContact,Add Contact,Adicionar Contato,Agregar contacto
ChargeForm.label.dsCharge,Description,Descrição,Descripción
BankAccount.label.dsAccount,Description,Descrição,Descripción
Breadcrumb.offices,Offices,Escritórios,Oficinas
ChargeForm.label.stCharge,Status,Status,Estado
BankAccountForm.label.stAccount,Status,Status,Estado
Caption.stAccount,Status,Status,Estado
BankAccountForm.label.nmAccount,Name,Nome,Nombre
Caption.nmAccount,Name,Nome,Nombre
Button.Close,Close,Fechar,Cerrar
ChargeForm.placeholder.stCharge,Select Status,Selecionar Status,Seleccionar Estado
BankAccountForm.placeholder.stAccount,Select Status,Selecionar Status,Seleccionar Estado
EditOffice.header.editOffice,Office Editing,Edição de Escritório,Edición de oficina
ChargeForm.label.flNonProfit,Non profitable,Non profitable,No rentable / Sin fines de lucro
EditProcess.pricing,Pricing,Cotação,Precio
OfficeBankAccount.button.addBankAccount,Add Account,Adicionar Conta,Agregar cuenta
OfficeBankAccount.header.addBankAccount,Add Account,Adicionar Conta,Agregar cuenta
ChargeForm.label.tpCalculationDefault,Default Calculation,Cálculo Padrão,Cálculo por defecto
Caption.tpCalculationDefault,Default Calculation,Cálculo Padrão,Cálculo por defecto
Caption.yearOfBuild,Year of Build,Ano de Construção,Año de construcción
EditOffice.button.occurrences,Occurrences,Ocorrências,Ocurrencias
PhoneInput.placeholder.type,Select Type,Selecione o Tipo,Seleccionar tipo
SideMenuComponent.label.salesmen,Salespersons,Vendedores,Vendedores
ContactForm.label.dsContact,Description,Descrição,Descripción
ContactForm.label.dsEmail,Email,E-mail,Correo electrónico
Caption.dsEmail,Email,E-mail,Correo electrónico
ContactForm.label.stContact,Status,Status,Estado
Caption.stContact,Status,Status,Estado
SalesmanList.paginator.salesmen,Salespersons,Vendedores,Vendedores
CommercialForm.placeholder.common.tpPPCC,Select,Selecionar,Seleccionar
CommercialForm.placeholder.pricing.tpOperation,Select,Selecionar,Seleccionar
CommercialForm.label.pricing.tpOperation,Operation,Operação,Operación
CommercialForm.label.common.tpPPCC,PP / CC,PP / CC,"Lo siento, necesito más contexto para poder proporcionar una traducción precisa. ¿Podría proporcionar más información sobre el contexto en el que se utiliza ""PP / CC""?"
OceanQuotationsComponent.button.addQuotation,Add Quotation,Adicionar Cotação,Agregar cita
OceanQuotationsComponent.header.addQuotation,Add Quotation,Adicionar Cotação,Agregar cita
StatusSelect.placeholder.status,Select Status,Selecionar Status,Seleccionar Estado
CommercialForm.placeholder.common.stStatus,Select Status,Selecionar Status,Seleccionar Estado
CommercialForm.label.pricing.flDirect,Direct,Direto,Directo
Salesmen.header.addSalesman,Add Salesperson,Adicionar Vendedor,Agregar vendedor de ventas
CommercialForm.label.pricing.flProject,Project,Projeto,Proyecto
ContactForm.type.tpNotifications,Notifications,Notificações,Notificaciones
Label.vlHeight,Height,Altura,Altura
Label.vlWidth,Width,Largura,Ancho
ContactList.caption.obPhones,Phone,Telefone,Teléfono
CommercialForm.label.common.cdIncoterm,Incoterm,Incoterm,Incoterm (término de comercio internacional)
PhoneInput.placeholder.number,Type the number,Digite o número,Escribe el número
OceanQuotationsComponent.headerLabel.quotationsList,Quotations List,Lista de Cotações,Lista de cotizaciones
CommercailForm.AddContact,Add Contact,Adicionar Contato,Agregar contacto
CommercialForm.label.pricing.obOrigin,Origin,Origem,Origen
TranshipmentItem.placeholder.type,Select Type,Selecione o Tipo,Seleccionar tipo
CommercialForm.label.quotation.obCustomer,Customer,Cliente,Cliente
CommercialForm.label.pricing.obDest,Destination,Destino,Destino
TranshipmentItem.placeholder.dsLocal,Destination,Destino,Destino
CommercialForm.placeholder.pricing.nbFreeTimeDemurrageCarrier,Demurrage,Demurrage,Demurrage (no translation available as it is a technical term used in international trade)
CommercialForm.label.pricing.nbFreeTimeDemurrageCarrier,Demurrage,Demurrage,Demurrage (no translation available as it is a technical term used in international trade)
CommercialForm.placeholder.pricing.nbFreeTimeDetentionCarrier,Detention,Detention,Traducción: Detención
CommercialForm.placeholder.quotation.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
TranshipmentItem.label.type,Type,Tipo,Tipo
BrandBarComponent.placeholder.goBack,Back,Voltar,Espalda
CommercailForm.Cancel,Cancel,Cancelar,Cancelar
TranshipmentItem.label.ETA,ETA,ETA,"Traducción:
ETA"
TranshipmentItem.label.ETD,ETD,ETD,"ETD significa ""Tiempo estimado de salida"" en inglés"
CommercialForm.label.pricing.obVia,Via,Via,"""Via"" se traduce al español como ""camino"" o ""vía"""
CommercialForm.label.quotation.obCustomerContact,Customer Contact,Contato do Cliente,Contacto con el cliente
CommercialForm.label.pricing.none,None,Nenhum,Ninguno
TranshipmentItem.placeholder.voyage,Voyage,Viagem,Viaje
CommercialForm.label.pricing.registered,Registered,Cadastrados,Registrado
CommercialForm.label.quotation.carrier,Carrier Free Time,Free Time do Armador,Tiempo libre de transporte
CommercialForm.label.quotation.customer,Customer Free Time,Free Time do Cliente,Tiempo libre del cliente
Commercial.subHeader.originDestination,Origin / Destination,Origem / Destino,Origen / Destino
Commercial.subHeader.deadLines,Deadlines,Prazos,Plazos
OwnerChargeForm.label.idVolume,Volume,Volume,Volumen
TypedOfficeSelect.default.noResult,No office found,Nenhum escritório encontrado,No se encontró la oficina
OwnerChargeForm.label.idCharge,Charge,Taxa,Cargar
CommercialForm.placeholder.pricing.tpProfitShare,Select Type,Selecione o Tipo,Seleccionar tipo
CommercialForm.label.pricing.obAgentPay,Remittance Agent,Agente Remessa,Agente de Remesas
CommercialForm.label.pricing.vlProfitShare,Value,Valor,Valor
OwnerChargeForm.label.vlCharge,Value,Valor,Valor
AddOwnerCharge.alert.success,Charge successfully added,Taxa adicionada com sucesso,Carga añadida exitosamente
CommercialForm.label.pricing.flRoutingOrder,Routing Order,Routing Order,Orden de enrutamiento
OwnerChargeForm.label.tpCalculation,Calculation Type,Tipo de Cálculo,Tipo de cálculo
SetOwnerCharge.alert.success,Charge successfully updated,Taxa atualizada com sucesso,Carga actualizada con éxito
OwnerChargeForm.placeholder.idCharge,Select Charge,Selecione a Taxa,Seleccionar Cargo
CommercialForm.label.quotation.cdCustomerReference,Customer Ref,Ref do Cliente,Referencia del cliente
CommercialForm.placeholder.pricing.vlProfitShare,Type the value,Digite o valor,Escriba el valor
OwnerChargeForm.placeholder.vlCharge,Type the value,Digite o valor,Escriba el valor
CommercialForm.label.pricing.obCarrierDest,Carrier Destination,Armador Destino,Destino del transportista
CommercialForm.label.pricing.obCarrierOrigin,Carrier Origin,Armador Origem,Origen del transportista
CommercialForm.label.quotation.obShipper,Shipper,Shipper,Remitente
CommercialForm.label.pricing.obCnee,Cnee,Cnee,"Lo siento, no puedo traducir ""Cnee"" ya que no tengo suficiente contexto o información para interpretar su significado. Por favor proporcione más detalles o una oración completa para que pueda ayudarlo mejor"
CommercialForm.label.quotation.obCnee,Cnee,Cnee,"Lo siento, ""Cnee"" no es una palabra en inglés. No puedo traducir algo que no tiene sentido en inglés. ¿Podría proporcionar más contexto o información para que pueda ayudarlo mejor?"
CommercialForm.placeholder.common.dsObservation,Add note (optional).,Digite a observação (opcional).,Agregar nota (opcional).
OwnerChargeForm.placeholder.vlMinCharge,Type the min value,Digite o valor mínimo,Escribe el valor mínimo
OwnerChargeForm.label.vlMinCharge,Min Value,Valor Mínimo,Valor mínimo
CommercialForm.label.pricing.flAgentContract,Agent Contract,Contrato do Agente,Contrato de Agente
OwnerChargeForm.label.vlMaxCharge,Max Value,Valor Máximo,Valor Máximo
OwnerChargeForm.placeholder.tpCalculation,Select Calculation Type,Selecione o Tipo de Cálculo,Seleccionar Tipo de Cálculo
Commercial.subHeader.profitShareInfo,Agent Profit Share,Acordo de Profit do Agente,Compartición de ganancias del agente
OwnerChargeForm.placeholder.idVolume,Select Volume,Selecione o Volume,Seleccionar Volumen
UserSelect.placeholder,Select User,Selecione o Usuário,Seleccionar Usuario
OwnerChargeForm.placeholder.vlMaxCharge,Type the max value,Digite o valor máximo,Escribe el valor máximo
CountryFlags.headerLabel.countryFlagsList,Countries List,Lista de Países,Lista de países
CountryFlags.header.countries,Countries,Países,Países
OwnerChargeList.header.editOwnerCharge,Charge Editing,Edição de Taxa,Edición de cargos
OwnerChargesManager.header.addOwnerCharge,Add Charge,Adicionar Taxa,Agregar cargo
CountryFlagList.paginator.countryFlags,Countries,Países,Países
EditCharge.header.editCharge,Charge Editing,Edição de Taxa,Edición de cargos
OwnerChargeForm.label.tpChargeLocal,Local,Local,"Local (en español) significa ""local"" o ""lugar cercano"""
ChargeCalculationForm.label.tpCalculation,Calculation Type,Tipo de Cálculo,Tipo de cálculo
OwnerChargeForm.label.dsObservation,Note,Observação,Nota
NavRoute.subtitle.chargeEditing,Charge Editing,Edição de Taxa,Editar cargo
OwnerChargeForm.placeholder.dsObservation,Add note (optional).,Digite a observação (opcional).,Agregar nota (opcional).
OwnerChargeForm.placeholder.tpChargeLocal,Select Local,Selecione o Local,Seleccionar Local
EditProcessCountryOrig.label.countryOrig,Pre-Carriage to Print,Pre-Carriage para Impressão,Transporte previo a la impresión
ChargeCalculationsManager.button.addChargeCalculation,Add Calculation,Adicionar Cálculo,Agregar cálculo
ChargeCalculationsManager.header.addChargeCalculation,Add Calculation,Adicionar Cálculo,Agregar cálculo
IncotermRuleForm.noData.tpModality,No Modalities,Sem Modalidades,Sin Modalidades
IncotermRuleForm.type.tpOperation,Operations,Operações,Operaciones
IncotermRuleForm.placeholder.dsObservation,Add note (optional).,Digite a observação (opcional).,Agregar nota (opcional).
IncotermRuleForm.label.tpPPCCDest,Destination,Destino,Destino
IncotermRuleForm.label.tpPPCCOrigin,Origin,Origem,Origen
IncotermRuleForm.label.tpOperation,Operations,Operações,Operaciones
IncotermRuleForm.placeholder.tpPPCCOrigin,Select,Selecionar,Seleccionar
IncotermRuleForm.placeholder.tpPPCCFreight,Select,Selecionar,Seleccionar
IncotermRuleForm.placeholder.tpPPCCDest,Select,Selecionar,Seleccionar
CountryFlagForm.label.flHouse,House,House,Casa
Caption.flHouse,House,House,Casa
IncotermRuleForm.label.stIncoterm,Status,Status,Estado
Caption.nmCountry,Name,Nome,Nombre
NavRoute.title.incoterms,Incoterms,Incoterms,Incoterms (términos de comercio internacional)
SideMenuComponent.label.incoterms,Incoterms,Incoterms,Incoterms (términos de comercio internacional)
Incoterms.header.incoterms,Incoterms,Incoterms,Incoterms (términos de comercio internacional)
Breadcrumb.incoterms,Incoterms,Incoterms,Incoterms (términos de comercio internacional)
IncotermList.paginator.incoterms,Incoterms,Incoterms,Incoterms (términos de comercio internacional)
AddIncotermCharge.alert.success,Charge successfully added,Taxa adicionada com sucesso,Carga añadida exitosamente
Caption.tpCalculation,Calculation Type,Tipo de Cálculo,Tipo de cálculo
SetIncotermCharge.alert.success,Charge successfully updated,Taxa atualizada com sucesso,Carga actualizada con éxito
IncotermRuleForm.label.dsObservation,Note,Observação,Nota
CountryFlagForm.label.flPrepaid,Accept Prepaid,Aceita Prepaid,Aceptar prepago
Caption.flPrepaid,Accept Prepaid,Aceita Prepaid,Aceptar prepago
NavRoute.subtitle.incotermEditing,Incoterm Editing,Edição de Incoterm,Edición de Incoterms
EditIncoterm.header.editIncoterm,Incoterm Editing,Edição de Incoterm,Edición de Incoterms
CountryFlagForm.label.flCollect,Accept Collect,Aceita Collect,Aceptar Recoger
Caption.flCollect,Accept Collect,Aceita Collect,Aceptar Recoger
IncotermRuleForm.label.tpPPCCFreight,Freight,Frete,Flete
CountryFlagForm.label.flEmbargo,Embargoed,Embargado,Embargado
Caption.flEmbargo,Embargoed,Embargado,Embargado
CountryFlagForm.label.flTaxHaven,Tax Haven,Paraíso Fiscal,Paraíso fiscal
Caption.flTaxHaven,Tax Haven,Paraíso Fiscal,Paraíso fiscal
IncotermRuleForm.placeholder.tpModality,Select Modalities,Selecione as Modalidades,Seleccionar Modalidades
IncotermChargeForm.placeholder.vlMinCharge,Type the min value,Digite o valor mínimo,Escribe el valor mínimo
IncotermChargeList.header.editIncotermCharge,Charge Editing,Edição de Taxa,Edición de cargos
Caption.nmDepartment,Department Name,Nome do Departamento,Nombre del departamento
IncotermChargeForm.label.idCharge,Charge,Taxa,Cargar
IncotermChargeForm.label.vlCharge,Value,Valor,Valor
IncotermChargeForm.type.tpModality,Modalities,Modalidades,Modalidades
IncotermChargeForm.type.tpOperation,Operations,Operações,Operaciones
IncotermChargeForm.label.tpOperation,Operations,Operações,Operaciones
SideMenuComponent.label.operations,Operations,Operações,Operaciones
IncotermChargeForm.label.tpChargeLocal,Local,Local,"Local (en español) significa ""local"" o ""lugar cercano"""
NavRoute.title.users,Users,Usuários,Usuarios
SideMenuComponent.label.users,Users,Usuários,Usuarios
Breadcrumb.users,Users,Usuários,Usuarios
IncotermChargeForm.label.tpCalculation,Calculation Type,Tipo de Cálculo,Tipo de cálculo
NavRoute.title.seaOperations,Sea Operations,Operações Marítimas,Operaciones Marítimas
SeaOperations.header.seaOperations,Sea Operations,Operações Marítimas,Operaciones Marítimas
Breadcrumb.seaOperations,Sea Operations,Operações Marítimas,Operaciones Marítimas
NavRoute.title.airOperations,Air Operations,Operações Aéreas,Operaciones Aéreas
SideMenuComponent.label.airOperation,Air Operations,Operações Aéreas,Operaciones Aéreas
IncotermChargeForm.placeholder.idCharge,Select Charge,Selecione a Taxa,Seleccionar Cargo
IncotermChargeForm.placeholder.vlCharge,Type the value,Digite o valor,Escriba el valor
NavRoute.subtitle.processEditing,Process Editing,Edição de Processo,Edición de procesos
Caption.cdIncoterm,Incoterm,Incoterm,Incoterm (término de comercio internacional)
IncotermChargeForm.label.vlMinCharge,Min Value,Valor Mínimo,Valor mínimo
Button.processVolumes,Equipment / Volumes,Equipamento / Volumes,Equipo / Volúmenes
IncotermChargeForm.noData.tpModality,No modality,Sem modalidade,Sin modalidad
IncotermChargeForm.placeholder.tpChargeLocal,Select Local,Selecione o Local,Seleccionar Local
IncotermChargeForm.placeholder.tpOperation,Select operations,Selecionar operações,Seleccionar operaciones
IncotermChargeForm.placeholder.tpModality,Select modalities,Selecionar modalidades,Seleccionar modalidades
IncotermChargeForm.label.vlMaxCharge,Max Value,Valor Máximo,Valor Máximo
IncotermChargeForm.placeholder.tpCalculation,Select Calculation Type,Selecione o Tipo de Cálculo,Seleccionar Tipo de Cálculo
Export.subHeader.profitShareInfo,Agent Profit Share,Acordo de Profit do Agente,Compartición de ganancias del agente
Button.processInfo,Process Info,Informações do Processo,Información del proceso
IncotermChargeForm.noData.tpOperation,No operations,Sem operações,Sin operaciones
IncotermChargeForm.placeholder.vlMaxCharge,Type the max value,Digite o valor máximo,Escribe el valor máximo
Button.processHouses,Houses,Houses,Casas
SeaOperations.header.importQuotation,Import Quotation,Importar Cotação,Cotización de importación
SideMenuComponent.label.ports,Ports,Portos,Puertos
InviteForm.label.dsEmail,Email,E-mail,Correo electrónico
Breadcrumb.ports,Ports,Portos,Puertos
Ports.header.ports,Ports,Portos,Puertos
PortList.paginator.ports,Ports,Portos,Puertos
NavRoute.title.ports,Ports,Portos,Puertos
ProcessForm.Cancel,Cancel,Cancelar,Cancelar
PortForm.label.stPort,Status,Status,Estado
Users.Cancel,Cancel,Cancelar,Cancelar
UserList.paginator.users,Users,Usuários,Usuarios
ProcessForm.label.dtEtd,ETD,ETD,"ETD significa ""Tiempo estimado de salida"" en inglés"
InviteForm.placeholder.nmPerson,Type the name,Digite o nome,Escribe el nombre
DemurrageLauncher.header.demurrageLauncher,Demurrage Collection,Cobrança de Demurrage,Recolección de demora
Breadcrumb.demurrageLauncher,Demurrage Collection,Cobrança de Demurrage,Recolección de demora
NavRoute.title.demurrageLauncher,Demurrage Collection,Cobrança de Demurrage,Recolección de demora
Caption.vlPercentage,Percentual,Comissão,Porcentaje
ProcessForm.label.flDirect,Direct,Direto,Directo
Users.button.addUser,Add User,Adicionar Usuário,Agregar usuario
Users.header.addUser,Add User,Adicionar Usuário,Agregar usuario
Ports.button.addPort,Add Port,Adicionar Porto,Añadir puerto
Ports.header.addPort,Add Port,Adicionar Porto,Añadir puerto
SalesmanForm.label.idUser,User,Usuário,Usuario
ProcessForm.label.cdIncoterm,Incoterm,Incoterm,Incoterm (término de comercio internacional)
DemurrageLauncher.headerLabel.volumeList,Volumes List,Lista de Volumes,Lista de volúmenes
PortForm.placeholder.nmPort,Type the port's name,Digite o nome do porto,Escribe el nombre del puerto
Button.actions.importQuotation,Import Quotation,Importar Cotação,Cotización de importación
Caption.cdCountry,Country,País,País
EditSalesman.button.officeSalesman,Offices,Escritórios,Oficinas
ProcessForm.label.obDest,Destination,Destino,Destino
Caption.email,Email,E-mail,Correo electrónico
OfficeSalesmanList.paginator.officeSalesmen,Offices,Escritórios,Oficinas
OfficeSalesmanForm.label.idOffice,Office,Escritório,Oficina
PricingVolumeForm.label.obVolume,Volume,Volume,Volumen
PricingVolumeList.paginator.pricingVolumes,Volumes,Volumes,Volúmenes
NavRoute.title.salesmen,Salespersons,Vendedores,Vendedores
SalesmanForm.label.stSalesman,Status,Status,Estado
Caption.nmVolume,Name,Nome,Nombre
nmOffice,Name,Nome,Nombre
Caption.tpSalesModel,Modalities,Modalidades,Modalidades
tpSalesModel,Modalities,Modalidades,Modalidades
OfficeSalesmanForm.label.tpSalesModel,Modalities,Modalidades,Modalidades
OfficeSalesmanForm.type.tpSalesModel,Modalities,Modalidades,Modalidades
Breadcrumb.salesmen,Salespersons,Vendedores,Vendedores
PricingVolumesManager.button.addPricingVolume,Add Volume,Adicionar Volume,Añadir Volumen
PricingVolumesManager.header.addPricingVolume,Add Volume,Adicionar Volume,Añadir Volumen
ProcessForm.label.flRoutingOrder,Routing Order,Routing Order,Orden de enrutamiento
PricingVolumeList.header.editPricingVolume,Volume Editing,Edição de Volume,Edición de Volumen
CommercialForm.label.pricing.idUserPricing,Pricing,Pricing,Precio
OfficeSalesmanList.header.editOfficeSalesman,Office Editing,Edição de Escritório,Edición de oficina
OfficeSelect.NoOfficeFound,No office found,Nenhum escritório encontrado,No se encontró la oficina
OfficeSelect.placeholder,Select Office,Selecione o Escritório,Seleccionar Oficina
VolumeSelect.placeholder,Select Volume,Selecione o Volume,Seleccionar Volumen
OfficeSalesmanForm.placeholder.tpSalesModel,Select Modalities,Selecione as Modalidades,Seleccionar Modalidades
SalesChargeList.header.editSalesCharge,Charge Editing,Edição de Taxa,Edición de cargos
SalesChargeForm.label.idVolume,Volume,Volume,Volumen
SalesChargeForm.label.idCharge,Charge,Taxa,Cargar
Caption.obCustomer,Customer,Cliente,Cliente
PricingVolumeForm.label.dsGoods,Description,Descrição,Descripción
Caption.obDest,Destination,Destino,Destino
SalesChargeForm.label.flProfitShare,Profit Share,Profit Share,Participación en las ganancias
SalesChargeForm.label.vlMin,Min,Min,"""Min"" does not have a clear meaning in English. It could be a shortened version of a longer word or a name. Please provide more context or information for an accurate translation"
SalesChargeForm.placeholder.vlMin,Min,Min,"""Min"" does not have a clear meaning in English. It could be a shortened version of a longer word or a name. Please provide more context or information for an accurate translation"
SalesChargeForm.label.tpPPCC,PP / CC,PP / CC,"Lo siento, necesito más contexto para poder proporcionar una traducción precisa. ¿Podría proporcionar más información sobre el contexto en el que se utiliza ""PP / CC""?"
SalesChargeForm.label.vlCharge,Value,Valor,Valor
SalesChargeForm.placeholder.vlCharge,Value,Valor,Valor
PricingVolume.label.nbFreeTimeDemurrage,Demurrage,Demurrage,Demurrage (no translation available as it is a technical term used in international trade)
PricingVolume.placeholder.nbFreeTimeDemurrage,Demurrage,Demurrage,Demurrage (no translation available as it is a technical term used in international trade)
SalesChargeManager.button.addSalesCharge,Add Charge,Adicionar Taxa,Agregar cargo
SalesChargeManager.header.addSalesCharge,Add Charge,Adicionar Taxa,Agregar cargo
PricingVolume.label.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
PricingVolume.placeholder.nbFreeTimeDetention,Detention,Detention,Traducción: Detención
SalesChargeForm.placeholder.tpPPCC,Select,Selecione,Seleccionar
AddSalesCharge.alert.success,Charge successfully added,Taxa adicionada com sucesso,Carga añadida exitosamente
PricingVolume.placeholder.vlWeight,Weight,Peso,Peso
PricingVolume.label.vlWeight,Weight,Peso,Peso
SetSalesCharge.alert.success,Charge successfully updated,Taxa atualizada com sucesso,Carga actualizada con éxito
ChargeSelect.placeholder,Select Charge,Selecione a Taxa,Seleccionar Cargo
Caption.cdPricing,Pricing,Pricing,Precio
FileList.tooltip.remove,Remove,Remover,Eliminar
SalesChargeForm.label.vlMax,Max,Max,"Max (no necesita traducción, es un nombre propio en inglés)"
SalesChargeForm.placeholder.vlMax,Max,Max,"Max (no necesita traducción, es un nombre propio en inglés)"
PricingVolume.label.freeTime,Free Time,Free Time,Tiempo libre
EditQuotation.button.pricingVolumes,Equipment / Volumes,Equipamento / Volumes,Equipo / Volúmenes
EditQuotation.header.editQuotation,Quotation Editing,Edição de Cotação,Edición de cotización
SalesChargeForm.label.flVATOS,VATOS,VATOS,"Lo siento, pero no puedo proporcionar una traducción precisa de ""VATOS"" ya que es una jerga o argot en inglés y no tiene una traducción directa al español. Sin más contexto, no puedo determinar su significado exacto"
Breadcrumb.quotations,Quotations,Cotações,Citas
PricingList.paginator.pricings,Quotations,Cotações,Citas
SalesChargeForm.label.tpCalculation,Calc Type,Tipo Calc,Tipo de cálculo
SalesChargeForm.label.tpBuyOrSell,Buy / Sell,Compra / Venda,Comprar / Vender
SalesChargeForm.label.flAccountable,Accountable,Contabilizável,Responsable
EditQuotation.button.occurrences,Occurrences,Ocorrências,Ocurrencias
ProcessChargeList.header.editSalesCharge,Charge Editing,Edição de Taxa,Editar cargo
Caption.idVolume,Volume,Volume,Volumen
SalesChargeForm.label.obSupplier,Company,Empresa,Compañía
Caption.obSupplier,Company,Empresa,Compañía
ProcessChargeForm.label.obSupplier,Company,Empresa,Compañía
ProcessChargeForm.label.idVolume,Volume,Volume,Volumen
ProcessChargeForm.label.idCharge,Charge,Taxa,Cargar
ProcessChargeForm.label.vlCharge,Value,Valor,Valor
ProcessChargeForm.placeholder.vlCharge,Value,Valor,Valor
ProcessChargeManager.button.addSalesCharge,Add Charge,Adicionar Taxa,Agregar cargo
ProcessChargeManager.header.addSalesCharge,Add Charge,Adicionar Taxa,Agregar cargo
ProcessChargeForm.placeholder.tpPPCC,Select,Selecione,Seleccionar
ProcessChargeForm.placeholder.tpBuyOrSell,Select,Selecione,Seleccionar
ProcessChargeForm.placeholder.tpCalculation,Select,Selecione,Seleccionar
SalesChargeForm.label.tpChargeLocal,Local,Local,"Local (en español) significa ""local"" o ""lugar cercano"""
ProcessChargeForm.label.tpChargeLocal,Local,Local,"Local (en español) significa ""local"" o ""lugar cercano"""
ProcessChargeForm.label.flProfitShare,Profit Share,Profit Share,Participación en las ganancias
ProcessChargeForm.label.vlMin,Min,Min,"""Min"" does not have a clear meaning in English. It could be a shortened version of a longer word or a name. Please provide more context or information for an accurate translation"
ProcessChargeForm.placeholder.vlMin,Min,Min,"""Min"" does not have a clear meaning in English. It could be a shortened version of a longer word or a name. Please provide more context or information for an accurate translation"
Caption.tpPPCC,PP / CC,PP / CC,"Lo siento, necesito más contexto para poder proporcionar una traducción precisa. ""PP/CC"" puede tener diferentes significados dependiendo del contexto en el que se utilice"
ProcessChargeForm.label.tpPPCC,PP / CC,PP / CC,"Lo siento, necesito más contexto para poder proporcionar una traducción precisa. ""PP/CC"" puede tener diferentes significados dependiendo del contexto en el que se utilice"
ProcessChargeForm.label.vlMax,Max,Max,"Max (no necesita traducción, es un nombre propio en inglés)"
ProcessChargeForm.placeholder.vlMax,Max,Max,"Max (no necesita traducción, es un nombre propio en inglés)"
AddPricingVolume.alert.success,Volume successfully added,Volume adicionado com sucesso,Volumen agregado exitosamente
AddQuotationVolume.alert.success,Volume successfully added,Volume adicionado com sucesso,Volumen agregado exitosamente
NavRoute.subtitle.quotationEditing,Quotation Editing,Edição de Cotação,Edición de cotización
AddOccurrence.alert.success,Occurrence successfully added,Ocorrência adicionada com sucesso,Ocurrencia añadida exitosamente
